2025-07-04 10:22:58,845 - INFO - === Starting new sender session ===
2025-07-04 10:22:58,845 - INFO - Starting video sender...
2025-07-04 10:22:58,846 - INFO - Streaming test_video.mp4 to 127.0.0.1:5005
2025-07-04 10:22:58,846 - INFO - Press Ctrl+C to stop
2025-07-04 10:22:58,846 - ERROR - Error: Video file not found at test_video.mp4
2025-07-04 10:47:08,329 - INFO - === Starting new sender session ===
2025-07-04 10:47:08,329 - INFO - Starting video sender...
2025-07-04 10:47:08,329 - INFO - Streaming test_video.mp4 to 127.0.0.1:5005
2025-07-04 10:47:08,329 - INFO - Press Ctrl+C to stop
2025-07-04 10:47:08,329 - ERROR - Error: Video file not found at test_video.mp4
2025-07-24 16:59:17,336 - INFO - === Starting new sender session ===
2025-07-24 16:59:17,337 - INFO - Starting video sender...
2025-07-24 16:59:17,337 - INFO - Streaming test_video.mp4 to 127.0.0.1:5005
2025-07-24 16:59:17,337 - INFO - Press Ctrl+C to stop
2025-07-24 16:59:17,337 - ERROR - Error: Video file not found at test_video.mp4
2025-07-24 17:00:50,494 - INFO - === Starting new sender session ===
2025-07-24 17:00:50,494 - INFO - Starting video sender...
2025-07-24 17:00:50,494 - INFO - Streaming test_video.mp4 to 127.0.0.1:5005
2025-07-24 17:00:50,494 - INFO - Press Ctrl+C to stop
2025-07-24 17:00:50,536 - INFO - Starting video stream from test_video.mp4
2025-07-24 17:00:50,537 - INFO - Sending to 127.0.0.1:5005
2025-07-24 17:00:55,148 - INFO - Sent start of frame 36, total packets: 70
2025-07-24 17:00:55,231 - INFO - Sent end of frame 36, packet 69/69
2025-07-24 17:00:55,274 - INFO - Frame 37: Sending 69 packets, total size 95030 bytes
2025-07-24 17:00:55,274 - INFO - Sent start of frame 37, total packets: 69
2025-07-24 17:00:55,355 - INFO - Sent end of frame 37, packet 68/68
2025-07-24 17:00:55,400 - INFO - Frame 38: Sending 69 packets, total size 95522 bytes
2025-07-24 17:00:55,400 - INFO - Sent start of frame 38, total packets: 69
2025-07-24 17:00:55,480 - INFO - Sent end of frame 38, packet 68/68
2025-07-24 17:00:55,522 - INFO - Frame 39: Sending 69 packets, total size 95203 bytes
2025-07-24 17:00:55,522 - INFO - Sent start of frame 39, total packets: 69
2025-07-24 17:00:55,604 - INFO - Sent end of frame 39, packet 68/68
2025-07-24 17:00:55,649 - INFO - Frame 40: Sending 70 packets, total size 97059 bytes
2025-07-24 17:00:55,649 - INFO - Sent start of frame 40, total packets: 70
2025-07-24 17:00:55,730 - INFO - Sent end of frame 40, packet 69/69
2025-07-24 17:00:55,774 - INFO - Frame 41: Sending 69 packets, total size 95215 bytes
2025-07-24 17:00:55,774 - INFO - Sent start of frame 41, total packets: 69
2025-07-24 17:00:55,859 - INFO - Sent end of frame 41, packet 68/68
2025-07-24 17:00:55,902 - INFO - Frame 42: Sending 69 packets, total size 95722 bytes
2025-07-24 17:00:55,903 - INFO - Sent start of frame 42, total packets: 69
2025-07-24 17:00:55,987 - INFO - Sent end of frame 42, packet 68/68
2025-07-24 17:00:56,028 - INFO - Frame 43: Sending 69 packets, total size 95676 bytes
2025-07-24 17:00:56,028 - INFO - Sent start of frame 43, total packets: 69
2025-07-24 17:00:56,111 - INFO - Sent end of frame 43, packet 68/68
2025-07-24 17:00:56,155 - INFO - Frame 44: Sending 71 packets, total size 97417 bytes
2025-07-24 17:00:56,155 - INFO - Sent start of frame 44, total packets: 71
2025-07-24 17:00:56,242 - INFO - Sent end of frame 44, packet 70/70
2025-07-24 17:00:56,285 - INFO - Frame 45: Sending 69 packets, total size 95542 bytes
2025-07-24 17:00:56,285 - INFO - Sent start of frame 45, total packets: 69
2025-07-24 17:00:56,367 - INFO - Sent end of frame 45, packet 68/68
2025-07-24 17:00:56,410 - INFO - Frame 46: Sending 70 packets, total size 95822 bytes
2025-07-24 17:00:56,410 - INFO - Sent start of frame 46, total packets: 70
2025-07-24 17:00:56,492 - INFO - Sent end of frame 46, packet 69/69
2025-07-24 17:00:56,536 - INFO - Frame 47: Sending 69 packets, total size 95623 bytes
2025-07-24 17:00:56,537 - INFO - Sent start of frame 47, total packets: 69
2025-07-24 17:00:56,619 - INFO - Sent end of frame 47, packet 68/68
2025-07-24 17:00:56,662 - INFO - Frame 48: Sending 71 packets, total size 97300 bytes
2025-07-24 17:00:56,662 - INFO - Sent start of frame 48, total packets: 71
